Export of VMir File Data
------------------------
VMir File              :	sequence_no_header_no_whitespace.mir
VMir Analyzer Version  :	2.3

Source File:
------------------------------------
File Name              :	sequence_no_header_no_whitespace.fasta
Sequence Size          :	29903
Sequence Orientation(s):	Both
Sequence Conformation  :	Direct

VMir Analysis Prediction Parameters:
------------------------------------
Max. Size Calc.Score   :	100
Max. Size Assign SHPs  :	50
Max. Size Assign RHPs  :	50
Filters: Min. HP Size  :	70
         Max. HP Size  :	Any
         Min. HP Score :	115
Total # of Hairpins    :	296

VMir Viewer Parameters
----------------------
Filters: Min. HP Size  :	Any
         Max. HP Size  :	Any
         Min. HP Score :	Any
         Min. Wind.Cnt.:	Any
         HP Classes    :	Main-Hairpins
# of Filtered Hairpins :	222

Hairpins:
Rank	Name	Orientation	Start	Apex	Size	Score	Sub HPs	Rep HPs	Wind.Cnt.Abs.	Wind.Cnt.Rel.	
83	MR10	Reverse	2655	2694	86	151.2	0	0	1	1	
112	MR11	Reverse	3352	3387	76	140.8	0	0	3	3	
67	MR12	Reverse	3623	3676	98	156.3	1	0	1	2	
49	MR13	Reverse	3802	3844	86	164.1	0	0	2	2	
41	MR14	Reverse	4160	4206	89	170	1	0	1	2	
137	MR15	Reverse	4506	4540	72	133.8	1	0	2	3	
21	MR16	Reverse	5821	5870	95	188	0	0	1	1	
33	MR17	Reverse	6134	6177	91	175.9	0	0	1	1	
107	MR18	Reverse	6246	6284	87	142.7	0	0	1	1	
212	MR19	Reverse	8012	8052	89	117.1	0	0	1	1	
75	MR20	Reverse	8902	8950	97	153.7	0	0	1	1	
182	MR21	Reverse	9271	9316	97	123.2	0	0	1	1	
123	MR22	Reverse	9853	9895	92	137.1	0	0	1	1	
173	MR23	Reverse	9962	10014	97	124.3	1	0	1	2	
140	MR24	Reverse	10010	10048	82	132.7	1	0	1	2	
100	MR25	Reverse	10105	10148	85	145.7	0	0	1	1	
218	MR26	Reverse	10619	10660	79	116.7	0	0	1	1	
61	MR27	Reverse	11741	11792	97	157.5	0	0	1	1	
84	MR28	Reverse	12220	12262	90	151.1	0	0	1	1	
7	MR29	Reverse	12395	12440	94	207.9	1	0	1	2	
147	MR30	Reverse	12514	12556	83	131.7	0	0	1	1	
87	MR31	Reverse	13042	13088	93	148.5	1	0	1	2	
205	MR32	Reverse	14500	14542	84	119.2	0	0	1	1	
70	MR33	Reverse	14868	14905	76	155.2	0	0	2	2	
16	MR34	Reverse	14989	15028	82	191.4	1	0	2	3	
185	MR35	Reverse	15078	15112	72	123.2	0	0	2	2	
161	MR36	Reverse	15808	15858	89	127.3	0	0	1	1	
150	MR37	Reverse	15997	16038	75	130.6	1	0	1	2	
24	MR38	Reverse	16096	16140	92	184.1	1	0	1	2	
104	MR39	Reverse	16293	16334	89	143.9	0	0	1	1	
192	MR40	Reverse	16450	16482	75	121	0	0	1	1	
51	MR41	Reverse	16534	16576	84	162	1	0	1	2	
53	MR42	Reverse	17125	17166	81	160.9	0	0	2	2	
148	MR43	Reverse	17769	17809	90	131.6	1	0	1	3	
40	MR44	Reverse	17817	17864	91	170.2	0	0	1	1	
93	MR45	Reverse	18091	18132	89	147.6	1	0	1	2	
216	MR46	Reverse	18246	18290	89	116.9	0	0	1	1	
96	MR47	Reverse	18462	18508	98	147.1	1	0	1	3	
78	MR48	Reverse	19006	19049	92	153.4	2	0	1	3	
10	MR49	Reverse	19088	19132	88	197.8	0	0	1	1	
174	MR50	Reverse	20177	20222	88	124.3	0	0	1	1	
142	MR51	Reverse	21494	21544	95	132.5	0	0	1	1	
208	MR52	Reverse	21844	21889	95	118.1	0	0	1	1	
62	MR53	Reverse	22489	22534	88	157.5	0	0	1	1	
209	MR54	Reverse	22987	23032	93	117.6	0	0	1	1	
168	MR55	Reverse	23150	23192	84	126.3	0	0	1	1	
188	MR56	Reverse	23435	23480	94	122.8	0	0	1	1	
47	MR57	Reverse	23591	23636	88	164.2	1	0	1	2	
124	MR58	Reverse	23802	23851	98	137.1	0	0	1	1	
195	MR59	Reverse	23859	23898	90	120.6	0	0	1	1	
154	MR60	Reverse	23980	24024	79	129.7	1	0	2	3	
131	MR61	Reverse	24091	24139	90	134.6	0	0	1	1	
113	MR62	Reverse	24362	24410	94	140.4	0	0	1	1	
11	MR63	Reverse	24393	24440	96	194.4	0	0	1	1	
187	MR64	Reverse	24722	24762	79	123	0	0	1	1	
158	MR65	Reverse	24766	24808	75	127.9	1	0	2	3	
132	MR66	Reverse	25507	25556	94	134.6	1	0	1	2	
176	MR67	Reverse	25691	25734	87	124	0	0	2	2	
89	MR68	Reverse	25914	25948	70	148.1	0	0	1	1	
76	MR69	Reverse	25960	25998	73	153.7	0	0	1	1	
34	MR70	Reverse	26059	26096	80	174.1	1	0	2	3	
108	MR71	Reverse	26855	26894	80	142	0	0	2	2	
119	MR72	Reverse	26942	26990	97	137.4	1	0	1	2	
219	MR73	Reverse	27010	27058	89	116.2	1	0	1	2	
106	MR74	Reverse	27102	27139	79	142.8	1	0	1	3	
36	MR75	Reverse	27167	27206	80	172.3	0	0	1	1	
99	MR76	Reverse	27676	27721	94	146.2	1	0	1	2	
157	MR77	Reverse	27867	27900	74	129.2	0	0	1	1	
203	MR78	Reverse	27942	27986	89	119.5	0	0	2	2	
120	MR79	Reverse	28216	28252	81	137.4	0	0	1	1	
73	MR80	Reverse	28421	28460	80	155.1	0	0	1	1	
101	MR81	Reverse	28925	28966	83	145.5	0	0	1	1	
23	MR82	Reverse	29532	29582	94	184.6	1	0	1	2	
